Prizes	"Odds, 1 in"	Column1	Total # of Winners	Prizes Claimed	Prizes Available	Computed Odds	Ticket Count	FundingCost	ProdCost	NetSales	GrossReturn					
"$75,000 "	1204150	0.000083%	 2 	8	8	"1,204,819"	2	"$118,275.00"	$1.26	$7.89	"-$118,268.38"					
"$5,000 "	"116,766"	0.000867%	 16 	105	60	"115,340"	16	"$82,365.00"	$13.18	$82.37	"-$82,295.81"					
$500 	"3,436"	0.025250%	 480 	"3,643"	"1,965"	"3,960"	480	"$239,875.00"	$383.80	"$2,398.75"	"-$237,860.05"					
$250 	"2,106"	0.04150%	 789 	"5,953"	"3,196"	"2,410"	789	"$197,125.00"	$630.80	"$3,942.50"	"-$193,813.30"					
$100 	399	0.24000%	" 4,560 "	"31,513"	"16,735"	417	"4,560"	"$456,000.00"	"$3,648.00"	"$22,800.00"	"-$436,848.00"					
$50 	218	0.56500%	" 10,735 "	"57,024"	"31,198"	177	"10,735"	"$536,750.00"	"$8,588.00"	"$53,675.00"	"-$491,663.00"					
$30 	185	0.75000%	" 14,250 "	"67,438"	"36,862"	133	"14,250"	"$427,500.00"	"$11,400.00"	"$71,250.00"	"-$367,650.00"					
$20 	40	2.49990%	" 47,498 "	"311,270"	"170,309"	40	"47,498"	"$949,962.00"	"$37,998.48"	"$237,490.50"	"-$750,469.98"					
$15 	17	5.00240%	" 95,046 "	"743,991"	"412,063"	20	"95,046"	"$1,425,684.00"	"$76,036.48"	"$475,228.00"	"-$1,026,492.48"					
$10 	17	6.50000%	" 123,500 "	"732,975"	"423,066"	15	"123,500"	"$1,235,000.00"	"$98,800.00"	"$617,500.00"	"-$716,300.00"					
$5 	10	10.00000%	" 190,000 "	"1,154,924"	"771,716"	10	"190,000"	"$950,000.00"	"$152,000.00"	"$950,000.00"	"-$152,000.00"					
$0 	1	74.375000%	" 1,413,125 "			1	"1,413,125"	$0.00	"$1,130,500.00"	"$7,065,625.00"	"$5,935,125.00"					
																
		100.0000000%	" 1,900,000 "				" 1,900,000 "	"$6,618,536.00"	"$1,520,000.00"	"$9,500,000.00"	"$1,361,464.00"					
											116.73%					
								$0.80		$5.00						
																
																
																
																
																 
